Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,logM,0.08,0.16,0.24,0.32,0.4,0.48,0.56,0.64,0.72,0.8,0.88,0.96,1.04,1.12,1.2,1.28,1.36,1.44,1.52,1.6,1.68,1.76,1.84,1.92,2,2.08,2.16,2.24,2.32,2.4,2.48,2.56,2.64,2.72,2.8,2.88,2.96,3.04,3.12,3.2,3.28,3.36,3.44,3.52,3.6,3.68,3.76,3.84,3.92,4,4.08,4.16,4.24,4.32,4.4,4.48,4.56,4.64,4.72,4.8,4.88,4.96,5.04,5.12,5.2,5.28,5.36,5.44,5.52,5.6,5.68,5.76,5.84,5.92,6,6.08,6.16,6.24,6.32,6.4,6.48,6.56,6.64,6.72,6.8,6.88,6.96,7.04,7.12,7.2,7.28,7.36,7.44,7.52,7.6,7.68,7.76,7.84,7.92
ID,VAc-0 in mol/L,tBPP-0 in mol/L,time in s,VAc in mol/L,tBPP in mol/L,conv in %,MMD(logM=0.08),MMD(logM=0.16),MMD(logM=0.24),MMD(logM=0.32),MMD(logM=0.4),MMD(logM=0.48),MMD(logM=0.56),MMD(logM=0.64),MMD(logM=0.72),MMD(logM=0.8),MMD(logM=0.88),MMD(logM=0.96),MMD(logM=1.04),MMD(logM=1.12),MMD(logM=1.2),MMD(logM=1.28),MMD(logM=1.36),MMD(logM=1.44),MMD(logM=1.52),MMD(logM=1.6),MMD(logM=1.68),MMD(logM=1.76),MMD(logM=1.84),MMD(logM=1.92),MMD(logM=2),MMD(logM=2.08),MMD(logM=2.16),MMD(logM=2.24),MMD(logM=2.32),MMD(logM=2.4),MMD(logM=2.48),MMD(logM=2.56),MMD(logM=2.64),MMD(logM=2.72),MMD(logM=2.8),MMD(logM=2.88),MMD(logM=2.96),MMD(logM=3.04),MMD(logM=3.12),MMD(logM=3.2),MMD(logM=3.28),MMD(logM=3.36),MMD(logM=3.44),MMD(logM=3.52),MMD(logM=3.6),MMD(logM=3.68),MMD(logM=3.76),MMD(logM=3.84),MMD(logM=3.92),MMD(logM=4),MMD(logM=4.08),MMD(logM=4.16),MMD(logM=4.24),MMD(logM=4.32),MMD(logM=4.4),MMD(logM=4.48),MMD(logM=4.56),MMD(logM=4.64),MMD(logM=4.72),MMD(logM=4.8),MMD(logM=4.88),MMD(logM=4.96),MMD(logM=5.04),MMD(logM=5.12),MMD(logM=5.2),MMD(logM=5.28),MMD(logM=5.36),MMD(logM=5.44),MMD(logM=5.52),MMD(logM=5.6),MMD(logM=5.68),MMD(logM=5.76),MMD(logM=5.84),MMD(logM=5.92),MMD(logM=6),MMD(logM=6.08),MMD(logM=6.16),MMD(logM=6.24),MMD(logM=6.32),MMD(logM=6.4),MMD(logM=6.48),MMD(logM=6.56),MMD(logM=6.64),MMD(logM=6.72),MMD(logM=6.8),MMD(logM=6.88),MMD(logM=6.96),MMD(logM=7.04),MMD(logM=7.12),MMD(logM=7.2),MMD(logM=7.28),MMD(logM=7.36),MMD(logM=7.44),MMD(logM=7.52),MMD(logM=7.6),MMD(logM=7.68),MMD(logM=7.76),MMD(logM=7.84),MMD(logM=7.92)
2.214-0.01615-10800,2.214,0.01615,10800,0.171474,0.012365,92.25501355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012542,0.00224894,0.00115458,0.00140389,0.00203813,0.00292374,0.00392457,0.00555353,0.00752352,0.0104915,0.0146333,0.0203258,0.028074,0.0380942,0.0513055,0.0687795,0.0911502,0.119638,0.154723,0.196981,0.245968,0.302027,0.364243,0.431117,0.501448,0.573202,0.644309,0.712143,0.773096,0.823186,0.856783,0.868699,0.854017,0.809564,0.735374,0.63483,0.516654,0.393033,0.275932,0.176431,0.10109,0.0510865,0.0224486,0.0082822,0.00247444,0.000578712,7.96172E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-12000,2.214,0.01615,12000,0.133542,0.0119439,93.96829268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158753,0.00284337,0.00145279,0.00176605,0.00255432,0.0036535,0.00488846,0.0068862,0.0092917,0.0128809,0.0178323,0.0245588,0.0335895,0.0450949,0.0599963,0.079339,0.103551,0.133606,0.169633,0.211872,0.259779,0.313437,0.371916,0.434376,0.500271,0.568023,0.635959,0.701536,0.760994,0.810166,0.843318,0.855245,0.841007,0.79748,0.724716,0.625955,0.509722,0.388031,0.272639,0.174487,0.100093,0.0506538,0.0223022,0.00825046,0.0024711,0.000583077,8.07448E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-13200,2.214,0.01615,13200,0.104798,0.0115349,95.26657633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198682,0.00355402,0.00180624,0.00219504,0.00316009,0.00450343,0.00600187,0.00840746,0.0112901,0.0155452,0.0213409,0.0290978,0.0393458,0.052201,0.0685239,0.0892702,0.114628,0.145322,0.181191,0.222278,0.268255,0.319176,0.374346,0.433578,0.496728,0.562342,0.628718,0.69318,0.751866,0.800508,0.833334,0.845246,0.831362,0.788531,0.716803,0.619352,0.504564,0.384322,0.27023,0.173102,0.0993852,0.0503235,0.0221759,0.00821481,0.00246554,0.000586282,8.24378E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-14400,2.214,0.01615,14400,0.0831049,0.0111382,96.24639115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245136,0.00437825,0.00221074,0.00268574,0.00384731,0.00546109,0.0072443,0.0100815,0.0134645,0.0183964,0.0250163,0.0337301,0.0450323,0.0589732,0.0763191,0.0978926,0.123667,0.154164,0.189118,0.228543,0.272465,0.321053,0.373891,0.431208,0.492928,0.557476,0.623063,0.686907,0.745062,0.7933,0.82593,0.837874,0.82423,0.78189,0.710946,0.614484,0.500765,0.381569,0.268407,0.17203,0.098834,0.0500767,0.0220964,0.00820268,0.00245829,0.000582984,8.40701E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-15600,2.214,0.01615,15600,0.0665349,0.0107541,96.9948103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298476,0.00532136,0.00266642,0.00323807,0.00461109,0.00651414,0.00859878,0.0118806,0.0157645,0.0213466,0.0287303,0.0382731,0.050397,0.0651093,0.0830559,0.104909,0.13051,0.160259,0.193942,0.231686,0.273909,0.320892,0.372351,0.428653,0.489654,0.55364,0.618743,0.682144,0.739923,0.787886,0.820353,0.832295,0.818852,0.776886,0.706494,0.610763,0.497879,0.379503,0.267047,0.171224,0.0984146,0.0498945,0.0220359,0.00819221,0.00245848,0.000579431,0.000086466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-16800,2.214,0.01615,16800,0.0535213,0.0103825,97.58259711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00359972,0.00640448,0.00318067,0.0038608,0.0054588,0.00766712,0.0100629,0.0137898,0.0181731,0.0243629,0.0324035,0.042613,0.0553151,0.0704648,0.0886068,0.11029,0.135314,0.164053,0.196481,0.232865,0.27391,0.319926,0.370646,0.426419,0.487002,0.550619,0.615371,0.678434,0.735921,0.783669,0.816016,0.827952,0.814656,0.773005,0.70306,0.607884,0.495626,0.377868,0.265965,0.170584,0.0980857,0.0497566,0.0219901,0.00817334,0.00245656,0.000585138,8.43905E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-18000,2.214,0.01615,18000,0.0432449,0.0100225,98.04675248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042976,0.00762807,0.00374957,0.00454904,0.00638123,0.0089045,0.0116141,0.0157701,0.0206176,0.0273423,0.035914,0.0465735,0.0595738,0.0748557,0.0928609,0.114063,0.138333,0.166081,0.197492,0.232945,0.273301,0.318801,0.369129,0.42459,0.484896,0.548239,0.612716,0.67553,0.7328,0.780364,0.812612,0.824557,0.811369,0.76994,0.70034,0.605623,0.493873,0.376592,0.265112,0.170083,0.0978278,0.0496398,0.0219488,0.00816539,0.00245393,0.000584335,8.43432E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-19200,2.214,0.01615,19200,0.0350999,0.00967421,98.41463866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00507658,0.00898717,0.0043668,0.00529482,0.00736023,0.0101928,0.0132047,0.0177518,0.0230122,0.0301616,0.0390983,0.0500002,0.0630458,0.0782057,0.0958661,0.116467,0.140004,0.166947,0.197662,0.232563,0.272543,0.317773,0.367883,0.423137,0.483236,0.546368,0.61063,0.673242,0.730336,0.777762,0.809927,0.821869,0.808771,0.767512,0.698185,0.603824,0.492463,0.375577,0.264445,0.16969,0.097631,0.0495578,0.0219188,0.00815098,0.00244917,0.000588162,8.33008E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-20400,2.214,0.01615,20400,0.0285317,0.00933798,98.71130533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594262,0.010489,0.00502877,0.00609369,0.00838747,0.0115181,0.014811,0.0196934,0.0252977,0.0327525,0.0418868,0.0528321,0.0657296,0.0806051,0.0978281,0.117834,0.140774,0.16716,0.197457,0.232056,0.271837,0.316906,0.366868,0.421969,0.481903,0.544861,0.608949,0.671401,0.728356,0.775669,0.807769,0.819714,0.806685,0.765563,0.696457,0.602387,0.491329,0.374751,0.263904,0.169369,0.0974644,0.0494843,0.0218859,0.00814029,0.0024566,0.000585658,8.31224E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-21600,2.214,0.01615,21600,0.0231758,0.00901332,98.9532159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069035,0.0121442,0.00573384,0.00694328,0.00945131,0.0128544,0.0164007,0.0215522,0.0274153,0.0350428,0.0442201,0.0550483,0.0676657,0.0821832,0.0989783,0.118496,0.141015,0.167056,0.197128,0.231573,0.271236,0.316195,0.366043,0.421022,0.480817,0.543637,0.60759,0.669907,0.726745,0.773968,0.806015,0.817954,0.804985,0.763982,0.695051,0.601213,0.490408,0.374071,0.263447,0.169096,0.0973216,0.0494177,0.0218583,0.00813589,0.00245851,0.000584518,8.35301E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.929-0.002915-1200,3.929,0.002915,1200,3.47896,0.00284698,11.45431407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49914E-05,4.50158E-05,2.35439E-05,2.86462E-05,4.19963E-05,6.07015E-05,8.23808E-05,0.000118339,0.000162428,0.000232384,0.000334302,0.000480143,0.000690935,0.000978054,0.00138392,0.00196812,0.00280597,0.0040117,0.00574382,0.00824812,0.0117274,0.016611,0.0235036,0.0331389,0.0465786,0.0651989,0.0905381,0.124581,0.169881,0.229043,0.304562,0.398828,0.512963,0.644988,0.788968,0.933456,1.06313,1.15787,1.19459,1.15792,1.04516,0.868121,0.655119,0.442856,0.264219,0.137675,0.0611261,0.0220692,0.00657095,0.00147527,6.32827E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.929-0.002915-2400,3.929,0.002915,2400,3.05698,0.00277712,22.19445151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84797E-05,5.12702E-05,2.67535E-05,3.25615E-05,4.79589E-05,6.95666E-05,9.40873E-05,0.00013471,0.000184989,0.000264612,0.000380467,0.000545753,0.000784681,0.00111219,0.0015769,0.00224593,0.0031963,0.00456435,0.00653589,0.00936595,0.0132768,0.018773,0.0265593,0.0373751,0.0523186,0.0729251,0.100848,0.138221,0.18761,0.251481,0.332055,0.431058,0.548794,0.68198,0.823272,0.960126,1.07621,1.15179,1.16655,1.11079,0.987048,0.809926,0.607239,0.410613,0.247329,0.131257,0.0601315,0.0231437,0.00738797,0.00200199,0.00052433,0.000127825,9.07134E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
